نام محل,عرض جغرافی (Latitude),طول جغرافی (Longitude),آدرس
فرودگاه,28.951111,50.833889,جنب فلکه فرودگاه
فرودگاه شیراز,29.545759,52.589868,فارس - شیراز - بلوار مدرس
فرودگاه,27.209376,56.368411,فرودگاه بندر عباس
فرودگاه,35.25234,47.01389,سنندج - فرودگاه
فرودگاه,34.35707,47.1445,کرمانشاه - فرودگاه شهید اشرفی کرمانشاه
فرودگاه همدان,34.8681,48.5386,ورودی شهرهمدان از تهران
مجتمع تجاری تفریحی خلیج فارس,29.756578201,52.4320836532,فارس - شیراز -ابتدای جاده صدرا
مجتمع زیتون,29.6194070131,52.52728598,فارس - شیراز پارامونت
مجتمع ستاره فارس,29.6268962138,52.5046266782,فارس - شیراز عفیف آباد
مجتمع آفتاب فارس,29.685061,52.471696,فارس - شیراز معالی آباد
برج تجارت جهانی, 38.066753°, 46.365118°,
اطلس ایرانیان, 38.066889°, 46.350753°,ولیعصر- نگین پارک - ساختمان اطلس ایرانیان
برج بلور,38.065545°,46.327538°,آبرسان - فلکه دانشگاه -  برج بلور
مجتمع زیست خاور,36.290065,59.584953,کوهسنگی
پروما,36.325486,59.564443,جانباز
مجتمع تک,36.313464,59.562865,سجاد
بازار بزرگ هرمزگان,27.17758,56.275647,بلوار طالقانی
زیتون,27.179085,56.275513,خیابان امام خمینی  سه راهی بلوکی
رویال,27.180405,56.27741,خیابان امام خمینی  برق
ستاره شهر,27.182014,56.280138,خیابان امام خمینی  شهربانی
ستاره جنوب,27.1793989,56.283658,بلوار طالقانی
نیلی,27.17937,56.283028,بلوار طالقانی
سیتی سنتر,27.181445,56.280927,خیابان امام خمینی  شهربانی
نخیل,27.203362,56.345632,خیابان امام خمینی سه راهی نخل ناخدا
کارگزاری,27.180882,56.285402,میدانشریعتی جنوبی
ملکه اسمانها,27.178378,56.268893,خیابان امام خمینی نرسیده به یادبود
مجتمع سپهر,29.6251253899,52.5027223098,فارس - شیراز عفیف آباد
مجتمع سینا,29.6351355568,52.49433236,فارس - شیراز خیابان زرگری
پاسا‍ژ شهریار, 36.544940°, 52.677472°,خيابان آيت اله سعيدي
پاساژ شمس , 38.077528°, 46.292942°,خیابان تربیت
پاساژ اسلامی, 38.073665°, 46.253523°,خیابان نصفراه - پاساژ اسلامی
پاساژ زیرزمینی میدان نماز, 38.078250°, 46.292951°,میدان نماز
مجتمع تجاری کردستان,35.30492,46.98611,سنندج - مجتمع تجاری کردستان
مجتمع تجاری صدف,35.30954,46.99754,سنندج - مجتمع تجاری صدف
مجتمع فرهنگی فجر,35.3018,47.00611,سنندج - مجتمع فرهنگی فجر
مجتمع زیتون,28.956969,50.849731,خ باغ زهرا
پاساژ خ لیان,28.987333,50.832222,مجتمع پاساژهای خ لیان
مجتمع نیایش,28.945814,50.866394,بلوار ورودی شهر بعد از بیمارستان
مجتمع هامون,29.622829,52.504272,فارس - شیراز ستارخان
مجتمع سعدی,29.626948,52.506284,فارس - شیراز عفیف آباد
میکرو پاساژ ارگ ,34.3051,47.0622,کرمانشاه- میدان آیت ا.. کاشانی پاساژ ارگ
دانشگاه هرمزگان/ اداری و خوابگاه,27.266776,56.436817,ابتدای جاده بندر عباس-میناب دانشگاه هرمزگان
خوابگاه کوثر دانشگاه علوم پزشکی,27.196652,56.339115,بندر عباس  خیابان رسالت شمالی خوابگاه کوثر
بیمارستان امام رضا (پیکو 1) ,34.39207,47.09855,کرمانشاه - سرخه ليزه - بيمارستان امام رضا
درمانگاه شهید مطهری,29.632375,52.519786,فارس - شیراز میدان نمازی
درمانگاه امام رضا(علیه السلام),29.631979,52.520961,فارس - شیراز میدان نمازی
بیمارستان قلب کوثر,29.670696,52.473401,فارس - شیراز خیابان قصردشت
آتیه, 38.058882°, 46.316689°,
بیمارستان فرشچیان,34.7873,48.4847,بالاتراز دانشگاه بوعلی
بیمارستان عالی نسب, 38.108804°, 46.300907°,
بیمارستان محلاتی, 38.075822°, 46.259430°,
بیمارستان بهشتی,34.7826,48.4831,بلوار ارم
بیمارستان سینا,36.281634,59.599697,جهاد
بیمارستان شمس, 38.073226°, 46.326284°,
هتل دلوار,28.975743,50.827916,خ رئیس علی دلواری
هتل بزرگ تبریز, 38.065015°, 46.326204°,آبرسان- فلکه دانشگاه- هتل تبریز
هتل پارس, 38.020760°, 46.368830°,ایل گلی - هتل پارس
هتل شهریار, 38.050332°, 46.349569°,جاده ایل گلی - نرسیده به فلکه خیام- هتل شهریار
هتل گلشن, 38.073155°, 46.298422°,
هتل گسترش, 38.066086°, 46.324013°,چهارراه آبرسان - هتل گسترش
هتل ائل گلی, 38.023619°, 46.367359°,
هتل شادی,35.28346,47.00461,سنندج - هتل شادی
مهمانسرای جهانگردی,35.29264,47.00419,سنندج - مهمانسرای جهانگردی
هتل مدینه الرضا,36.290923,59.613021,شیرازی
هتل درویشی,36.275599,59.605586,امام رضا
هتل قصر,36.277767,59.607722,امام رضا
هتل قصرطلائی,36.272244,59.60296,امام رضا
هتل پارس,36.330847,59.487066,وکیل آباد
هتل شرکت نفت,36.322411,59.497725,پیروزی
کیمیای2یا هتل نور,36.288219,59.609033,17شهريور
هتل پارسیان,36.286211,59.57321,کلانتری
هتل آبان,36.319678,59.523785,کلانتری
هتل میثاق,36.32888,59.470019,وکیل آباد
هتل بابا طاهر,34.8101,48.5106,میدان باباطاهر
هتل بوعلی,34.7845,48.5128,خیابان بوعلی
هتل خاتم,34.8054,48.5056,خیابان باباطاهر روبروی پمپ بنزین
کتابخانه مصلی,34.7974,48.5235,خیابان تختی -تپه مصلی
راه اهن,27.212409,86.25653,بلوار راه اهن ترمینال مسافری
ایستگاه راه آهن, 38.071810°, 46.228756°,
ایستگاه قطار,29.763884,52.43039,فارس - شیراز بالاتر از شهرک صدرا
سالن های ورزشی شهید اقدمی(باغ شمال), 38.067430°, 46.301425°,
سالن شهید بهشتی,36.324594,59.560851,امام خمینی
ترمینال بزرگ تبریز, 38.046477°, 46.276876°,
پایانه مسافربری,36.260033,59.591952,ضد
ترمینال ,27.190555,56.352367,ترمینال مسافری
دانشگاه علوم پزشکی, 36.531468°, 52.677786°,خيابن كشاورز
دانشگاه آزاد, 36.524205°, 52.718162°,جاده قائمشهر-گرجي آباد
دانشگاه علوم وفنون, 36.536462°, 52.686317°,سرداران 12
دانشکده فنی و مهندسی, 36.561177°, 52.680742°,خيابان شريعتي
دانشکده تربیت معلم, 36.565171°, 52.691698°,كمربندي شرقي - گلستان 7
دانشگاه تبریز, 38.061833°, 46.328473°,
دانشگاه آزاد, 38.043413°, 46.387101°,
دانشگاه علوم پزشکی, 38.058561°, 46.327587°,
دانشگاه بوعلی سینا,34.7894,48.4892,چهار راه پارک مردم
آموزشکده فنی و حرفه ای, 38.043481°, 46.266232°,
دانشکده پزشکی,29.6258516763,52.5304402578,فارس - شیراز میدان ستاد
دانشکده داروسازی,29.635945,52.514109,فارس - شیراز ابیوردی
دانشکده دندانپزشکی,29.646186,52.494603,فارس - شیراز قم اباد
دانشکده بهداشت,29.591768,52.583698,فارس - شیراز دروازه کازرون
دانشکده تغذیه و علوم غذایی,29.626586,52.539474,فارس - شیراز خیابان مشکین فام
دانشکده پرستاری و مامایی حضرت فاطمه(س),29.63137,52.51819,فارس - شیراز میدان نمازی
دانشکده علوم توانبخشی,29.635945,52.514109,افارس - شیراز بیوردی یک
دانشکده پیراپزشکی,29.62609,52.540564,فارس - شیراز خیابان مشکین فام
دانشکده مدیریت و اطلاع رسانی,29.624075,52.5176,فارس - شیراز خیابان قصرالدشت - بين خيابان فلسطين و ملاصدرا
دانشکده علوم و فناوریهای نوین پزشکی,29.627414,52.530736,فارس - شیراز خيابان نشاط - روبروي سالن سينا و صدرا
"دانشکده علوم ,کشاورزی و فناوری های نوین",29.763083,52.481633,فارس - شیراز پردیس صدرا
 دانشکده هنر و معماری,29.793114,52.509617,فارس - شیراز شهرک صدرا
 دانشکده دندانپزشکی,29.612493,52.534611,فارس - شیراز خیابان قاانی کهنه
 دانشکده اقتصاد و مدیریت,29.763083,52.481633,فارس - شیراز پردیس صدرا
 دانشکده حقوق و علوم انسانی,29.763083,52.481633,فارس - شیراز پردیس صدرا
          دانشکده فنی و مهندسی,29.763083,52.481633,فارس - شیراز پردیس صدرا
دانشکده هنر و معماری,29.682069,52.458553,فارس - شیراز معالی اباد
دانشکده مهندسی مکانیک,29.627414,52.518117,فارس - شیراز ملاصدرا
دانشکده دامپزشکی,29.722235,52.597362,فارس - شیراز باجگاه
دانشکده مهندسی برق و کامپیوتر,29.627414,52.518117,فارس - شیراز ملاصدرا
دانشکده کشاورزی,29.725538,52.589335,فارس - شیراز باجگاه
دانشگاه پیام نور,29.771507,52.399504,فارس - شیراز شهرک گلستان
دانشگاه صنعتی شیراز,29.582527,52.581033,فارس - شیراز بلوارمدرس
دانشگاه ادبیات,36.306858,59.53342,دانشگاه
دانشگاه آزاد,34.8447,48.5601,شهرک مدنی -حسن اباد
دانشگاه علوم پزشکی/پرستاری,27.192832,56.341024,بندر عباس  خیابان رسالت جنوبی دانشکده پرستاری
دانشگاه پیام نور,27.171389,56.248759,بندر عباس خیابان امام خمینی نرسیده به سه راه جهانبار دانشگاه پیام نور
دانشگاه  نبی اکرم, 38.073355°, 46.243514°,
دانشگاه کردستان,35.27857,47.00001,سنندج - دانشگاه کردستان
دانشگاه آزاد واحد مرکزی سنندج,35.30296,47.00243,سنندج - سه راه ادب - دانشگاه آزاد واحد مرکزی سنندج
دانشگاه پیام نور,35.27452,46.99522,سنندج - دانشگاه پیام نور
دانشکده ادبیات دانشگاه آزاد سنندج,35.297555,46.987555,سنندج - شهرک سعدی - دانشکده ادبیات دانشگاه آزاد سنندج
دانشگاه علمی کاربردی ITI,29.566295,52.612616,فارس - شیراز بلوار مدرس - خیابان بریجستون
دانشگاه علمی کاربردی ITMC,29.594343,52.571471,فارس - شیراز بلوارمدرس
دانشگاه رازی ,34.38948,47.11431,کرمانشاه - باغ ابریشم - دانشگاه رازی
