ردیف,نوع نقاط,نام استان,نام شهرستان,نام محل,Type,عرض جغرافی (Latitude),طول جغرافی (Longitude),آدرس
3,پیشنهادی استان ها,بوشهر,بوشهر,فرودگاه,Airport,28.951111,50.833889,جنب فلکه فرودگاه
7,پیشنهادی استان ها,فارس,شیراز,فرودگاه شیراز,Airport,29.545759,52.589868,فارس - شیراز - بلوار مدرس
14,پیشنهادی استان ها,هرمزگان,بندر عباس,فرودگاه,Airport,27.209376,56.368411,فرودگاه بندر عباس
16,پیشنهادی استان ها,کردستان,سنندج,فرودگاه,Airport,35.25234,47.01389,سنندج - فرودگاه
19,پیشنهادی استان ها,کرمانشاه,کرمانشاه,فرودگاه,Airport,34.35707,47.1445,کرمانشاه - فرودگاه شهید اشرفی کرمانشاه
21,پیشنهادی استان ها,همدان,همدان,فرودگاه همدان,Airport,34.8681,48.5386,ورودی شهرهمدان از تهران
31,پیشنهادی استان ها,فارس,شیراز,مجتمع تجاری تفریحی خلیج فارس,Commercial Centre,29.756578201,52.4320836532,فارس - شیراز -ابتدای جاده صدرا
32,پیشنهادی استان ها,فارس,شیراز,مجتمع زیتون,Commercial Centre,29.6194070131,52.52728598,فارس - شیراز پارامونت
33,پیشنهادی استان ها,فارس,شیراز,مجتمع ستاره فارس,Commercial Centre,29.6268962138,52.5046266782,فارس - شیراز عفیف آباد
34,پیشنهادی استان ها,فارس,شیراز,مجتمع آفتاب فارس,Commercial Centre,29.685061,52.471696,فارس - شیراز معالی آباد
38,پیشنهادی استان ها,آذربایجان شرقی,تبریز,برج تجارت جهانی,Commercial Centre, 38.066753°, 46.365118°,
41,پیشنهادی استان ها,آذربایجان شرقی,تبریز,اطلس ایرانیان,Commercial Centre, 38.066889°, 46.350753°,ولیعصر- نگین پارک - ساختمان اطلس ایرانیان
45,پیشنهادی استان ها,آذربایجان شرقی,تبریز,برج بلور,Commercial Centre,38.065545°,46.327538°,آبرسان - فلکه دانشگاه -  برج بلور
47,پیشنهادی استان ها,خراسان رضوی,مشهد,مجتمع زیست خاور,Commercial Centre,36.290065,59.584953,کوهسنگی
51,پیشنهادی استان ها,خراسان رضوی,مشهد,پروما,Commercial Centre,36.325486,59.564443,جانباز
52,پیشنهادی استان ها,خراسان رضوی,مشهد,مجتمع تک,Commercial Centre,36.313464,59.562865,سجاد
90,پیشنهادی استان ها,هرمزگان,بندر عباس,بازار بزرگ هرمزگان,Commercial Centre,27.17758,56.275647,بلوار طالقانی
91,پیشنهادی استان ها,هرمزگان,بندر عباس,زیتون,Commercial Centre,27.179085,56.275513,خیابان امام خمینی  سه راهی بلوکی
92,پیشنهادی استان ها,هرمزگان,بندر عباس,رویال,Commercial Centre,27.180405,56.27741,خیابان امام خمینی  برق
93,پیشنهادی استان ها,هرمزگان,بندر عباس,ستاره شهر,Commercial Centre,27.182014,56.280138,خیابان امام خمینی  شهربانی
94,پیشنهادی استان ها,هرمزگان,بندر عباس,ستاره جنوب,Commercial Centre,27.1793989,56.283658,بلوار طالقانی
95,پیشنهادی استان ها,هرمزگان,بندر عباس,نیلی,Commercial Centre,27.17937,56.283028,بلوار طالقانی
96,پیشنهادی استان ها,هرمزگان,بندر عباس,سیتی سنتر,Commercial Centre,27.181445,56.280927,خیابان امام خمینی  شهربانی
97,پیشنهادی استان ها,هرمزگان,بندر عباس,نخیل,Commercial Centre,27.203362,56.345632,خیابان امام خمینی سه راهی نخل ناخدا
98,پیشنهادی استان ها,هرمزگان,بندر عباس,کارگزاری,Commercial Centre,27.180882,56.285402,میدانشریعتی جنوبی
99,پیشنهادی استان ها,هرمزگان,بندر عباس,ملکه اسمانها,Commercial Centre,27.178378,56.268893,خیابان امام خمینی نرسیده به یادبود
100,پیشنهادی استان ها,فارس,شیراز,مجتمع سپهر,Commercial Centre,29.6251253899,52.5027223098,فارس - شیراز عفیف آباد
101,پیشنهادی استان ها,فارس,شیراز,مجتمع سینا,Commercial Centre,29.6351355568,52.49433236,فارس - شیراز خیابان زرگری
102,پیشنهادی استان ها,مازندران,بابل,پاسا‍ژ شهریار,Commercial Centre, 36.544940°, 52.677472°,خيابان آيت اله سعيدي
103,پیشنهادی استان ها,آذربایجان شرقی,تبریز,پاساژ شمس ,Commercial Centre, 38.077528°, 46.292942°,خیابان تربیت
104,پیشنهادی استان ها,آذربایجان شرقی,تبریز,پاساژ اسلامی,Commercial Centre, 38.073665°, 46.253523°,خیابان نصفراه - پاساژ اسلامی
107,پیشنهادی استان ها,آذربایجان شرقی,تبریز,پاساژ زیرزمینی میدان نماز,Commercial Centre, 38.078250°, 46.292951°,میدان نماز
116,پیشنهادی استان ها,کردستان,سنندج,مجتمع تجاری کردستان,Commercial Centre,35.30492,46.98611,سنندج - مجتمع تجاری کردستان
121,پیشنهادی استان ها,کردستان,سنندج,مجتمع تجاری صدف,Commercial Centre,35.30954,46.99754,سنندج - مجتمع تجاری صدف
125,پیشنهادی استان ها,کردستان,سنندج,مجتمع فرهنگی فجر,Commercial Centre,35.3018,47.00611,سنندج - مجتمع فرهنگی فجر
126,پیشنهادی استان ها,بوشهر,بوشهر,مجتمع زیتون,Commercial Centre,28.956969,50.849731,خ باغ زهرا
127,پیشنهادی استان ها,بوشهر,بوشهر,پاساژ خ لیان,Commercial Centre,28.987333,50.832222,مجتمع پاساژهای خ لیان
128,پیشنهادی استان ها,بوشهر,بوشهر,مجتمع نیایش,Commercial Centre,28.945814,50.866394,بلوار ورودی شهر بعد از بیمارستان
132,پیشنهادی استان ها,فارس,شیراز,مجتمع هامون,Commercial Centre,29.622829,52.504272,فارس - شیراز ستارخان
133,پیشنهادی استان ها,فارس,شیراز,مجتمع سعدی,Commercial Centre,29.626948,52.506284,فارس - شیراز عفیف آباد
136,پیشنهادی استان ها,کرمانشاه,کرمانشاه,میکرو پاساژ ارگ ,Commercial Centre,34.3051,47.0622,کرمانشاه- میدان آیت ا.. کاشانی پاساژ ارگ
175,پیشنهادی استان ها,هرمزگان,بندر عباس,دانشگاه هرمزگان/ اداری و خوابگاه,Dormitory,27.266776,56.436817,ابتدای جاده بندر عباس-میناب دانشگاه هرمزگان
176,پیشنهادی استان ها,هرمزگان,بندر عباس,خوابگاه کوثر دانشگاه علوم پزشکی,Dormitory,27.196652,56.339115,بندر عباس  خیابان رسالت شمالی خوابگاه کوثر
254,پیشنهادی استان ها,کرمانشاه,کرمانشاه,بیمارستان امام رضا (پیکو 1) ,Hospital,34.39207,47.09855,کرمانشاه - سرخه ليزه - بيمارستان امام رضا
255,پیشنهادی استان ها,فارس,شیراز,درمانگاه شهید مطهری,Hospital,29.632375,52.519786,فارس - شیراز میدان نمازی
256,پیشنهادی استان ها,فارس,شیراز,درمانگاه امام رضا(علیه السلام),Hospital,29.631979,52.520961,فارس - شیراز میدان نمازی
257,پیشنهادی استان ها,فارس,شیراز,بیمارستان قلب کوثر,Hospital,29.670696,52.473401,فارس - شیراز خیابان قصردشت
259,پیشنهادی استان ها,آذربایجان شرقی,تبریز,آتیه,Hospital, 38.058882°, 46.316689°,
260,پیشنهادی استان ها,همدان,همدان,بیمارستان فرشچیان,Hospital,34.7873,48.4847,بالاتراز دانشگاه بوعلی
261,پیشنهادی استان ها,آذربایجان شرقی,تبریز,بیمارستان عالی نسب,Hospital, 38.108804°, 46.300907°,
262,پیشنهادی استان ها,آذربایجان شرقی,تبریز,بیمارستان محلاتی,Hospital, 38.075822°, 46.259430°,
263,پیشنهادی استان ها,همدان,همدان,بیمارستان بهشتی,Hospital,34.7826,48.4831,بلوار ارم
264,پیشنهادی استان ها,خراسان رضوی,مشهد,بیمارستان سینا,Hospital,36.281634,59.599697,جهاد
265,پیشنهادی استان ها,آذربایجان شرقی,تبریز,بیمارستان شمس,Hospital, 38.073226°, 46.326284°,
270,پیشنهادی استان ها,بوشهر,بوشهر,هتل دلوار,Hotel,28.975743,50.827916,خ رئیس علی دلواری
271,پیشنهادی استان ها,آذربایجان شرقی,تبریز,هتل بزرگ تبریز,Hotel, 38.065015°, 46.326204°,آبرسان- فلکه دانشگاه- هتل تبریز
272,پیشنهادی استان ها,آذربایجان شرقی,تبریز,هتل پارس,Hotel, 38.020760°, 46.368830°,ایل گلی - هتل پارس
273,پیشنهادی استان ها,آذربایجان شرقی,تبریز,هتل شهریار,Hotel, 38.050332°, 46.349569°,جاده ایل گلی - نرسیده به فلکه خیام- هتل شهریار
274,پیشنهادی استان ها,آذربایجان شرقی,تبریز,هتل گلشن,Hotel, 38.073155°, 46.298422°,
275,پیشنهادی استان ها,آذربایجان شرقی,تبریز,هتل گسترش,Hotel, 38.066086°, 46.324013°,چهارراه آبرسان - هتل گسترش
276,پیشنهادی استان ها,آذربایجان شرقی,تبریز,هتل ائل گلی,Hotel, 38.023619°, 46.367359°,
282,پیشنهادی استان ها,کردستان,سنندج,هتل شادی,Hotel,35.28346,47.00461,سنندج - هتل شادی
283,پیشنهادی استان ها,کردستان,سنندج,مهمانسرای جهانگردی,Hotel,35.29264,47.00419,سنندج - مهمانسرای جهانگردی
290,پیشنهادی استان ها,خراسان رضوی,مشهد,هتل مدینه الرضا,Hotel,36.290923,59.613021,شیرازی
291,پیشنهادی استان ها,خراسان رضوی,مشهد,هتل درویشی,Hotel,36.275599,59.605586,امام رضا
292,پیشنهادی استان ها,خراسان رضوی,مشهد,هتل قصر,Hotel,36.277767,59.607722,امام رضا
293,پیشنهادی استان ها,خراسان رضوی,مشهد,هتل قصرطلائی,Hotel,36.272244,59.60296,امام رضا
294,پیشنهادی استان ها,خراسان رضوی,مشهد,هتل پارس,Hotel,36.330847,59.487066,وکیل آباد
295,پیشنهادی استان ها,خراسان رضوی,مشهد,هتل شرکت نفت,Hotel,36.322411,59.497725,پیروزی
296,پیشنهادی استان ها,خراسان رضوی,مشهد,کیمیای2یا هتل نور,Hotel,36.288219,59.609033,17شهريور
297,پیشنهادی استان ها,خراسان رضوی,مشهد,هتل پارسیان,Hotel,36.286211,59.57321,کلانتری
298,پیشنهادی استان ها,خراسان رضوی,مشهد,هتل آبان,Hotel,36.319678,59.523785,کلانتری
299,پیشنهادی استان ها,خراسان رضوی,مشهد,هتل میثاق,Hotel,36.32888,59.470019,وکیل آباد
300,پیشنهادی استان ها,همدان,همدان,هتل بابا طاهر,Hotel,34.8101,48.5106,میدان باباطاهر
301,پیشنهادی استان ها,همدان,همدان,هتل بوعلی,Hotel,34.7845,48.5128,خیابان بوعلی 
303,پیشنهادی استان ها,همدان,همدان,هتل خاتم,Hotel,34.8054,48.5056,خیابان باباطاهر روبروی پمپ بنزین
336,پیشنهادی استان ها,همدان,همدان,کتابخانه مصلی,Library,34.7974,48.5235,خیابان تختی -تپه مصلی
374,پیشنهادی استان ها,هرمزگان,بندر عباس,راه اهن,Railway,27.212409,86.25653,بلوار راه اهن ترمینال مسافری
375,پیشنهادی استان ها,آذربایجان شرقی,تبریز,ایستگاه راه آهن,Railway, 38.071810°, 46.228756°,
378,پیشنهادی استان ها,فارس,شیراز,ایستگاه قطار,Railway,29.763884,52.43039,فارس - شیراز بالاتر از شهرک صدرا
381,پیشنهادی استان ها,آذربایجان شرقی,تبریز,سالن های ورزشی شهید اقدمی(باغ شمال),Sport complex, 38.067430°, 46.301425°,
383,پیشنهادی استان ها,خراسان رضوی,مشهد,سالن شهید بهشتی,Sport complex,36.324594,59.560851,امام خمینی
389,پیشنهادی استان ها,آذربایجان شرقی,تبریز,ترمینال بزرگ تبریز,Terminal, 38.046477°, 46.276876°,
394,پیشنهادی استان ها,خراسان رضوی,مشهد,پایانه مسافربری,Terminal,36.260033,59.591952,ضد
400,پیشنهادی استان ها,هرمزگان,بندر عباس,ترمینال ,Terminal,27.190555,56.352367,ترمینال مسافری
430,پیشنهادی استان ها,مازندران,بابل,دانشگاه علوم پزشکی,University, 36.531468°, 52.677786°,خيابن كشاورز
431,پیشنهادی استان ها,مازندران,بابل,دانشگاه آزاد,University, 36.524205°, 52.718162°,جاده قائمشهر-گرجي آباد
432,پیشنهادی استان ها,مازندران,بابل,دانشگاه علوم وفنون,University, 36.536462°, 52.686317°,سرداران 12
